BEGIN_GUI_DESCR			
			
GLOBAL_PICTURE	board_tab.png		
			
SHOW_PARAM	DOUBLE	W	
SHOW_PARAM	DOUBLE	H	
			
END_GUI_DESCR			
			
BEGIN_TAB_DESCR			
			
			
BEGIN_TABLE	SIZE	WxH	
SEL_STRING	BUW_SIZE	W	H
STRING	STRING	DOUBLE	DOUBLE
3/8 x 4	.375 x 3.50	0.375	4.00
3/8 x 6	.375 x 5.50	0.375	6.00
3/8 x 8	.375 x 8.00	0.375	8.00
3/8 x 10	.375 x 10	0.375	10.00
3/8 x 12	.375 x 12	0.375	12.00
3/8 x 14	.375 x 14	0.375	14.00
3/8 x 16	.375 x 16	0.375	16.00
1/2 x 2	.5 x 2	0.5	2.0
1/2 x 4	.5 x 4	0.5	4.0
1/2 x 6	.5 x 6	0.5	6.0
1/2 x 8	.5 x 8	0.5	8.00
1/2 x 12	.5 x 12	0.5	12.00
1/2 x 14	.5 x 14	0.5	14.00
1/2 x 16	.5 x 16	0.5	16.00
1/2 x 18	.5 x 18	0.5	18.00
1/2 x 20	.5 x 20	0.5	20.00
3/4 x 2	3/4 x 2	.75	2.00
3/4 x 3	3/4 x 3	.75	3.00
3/4 x 4	3/4 x 4	.75	4.00
3/4 x 5	3/4 x 5	.75	5.00
1 x 2	1 x 2	1.00	2.0
1 x 3	1 x 3	1.00	3.0
1 x 4	1 x 4	1.00	4.0
1 x 5	1 x 5	1.00	5.0
1 x 6	1 x 6	1.00	6.0
1 x 8	1 x 8	1.00	8.0
1 x 10	1 x 10	1	10.00
1 x 12	1 x 12	1	12.00
1 x 14	1 x 14	1	14.00
1 x 16	1 x 16	1	16.00
1 x 18	1 x 18	1	18.00
1 x 20	1 x 20	1	20.00
2 x 2	2 x 2	2	2
2 x 3	2 x 3	2	3
2 x 4	2 x 4	2	4
2 x 6	2 x 6	2	6
2 x 8	2 x 8	2	8
2 x 10	2 x 10	2	10
2 x 12	2 x 12	2	12
2 x 14	2 x 14	2	14
2 x 16	2 x 16	2	16
2 x 18	2 x 18	2	18
2 x 20	2 x 20	2	20
3 x 5	3 x 5	3	5
3 x 6	3 x 6	3	6
3 x 7	3 x 7	3	7
3 x 8	3 x 8	3	8
3 x 9	3 x 9	3	9
3 x 10	3 x 10	3	10
3 x 11	3 x 11	3	11
3 x 12	3 x 12	3	12
3 x 14	3 x 14	3	14
3 x 16	3 x 16	3	16
3 x 18	3 x 18	3	18
3 x 20	3 x 20	3	20
END_TABLE			
			
END_TAB_DESCR			
