BEGIN_GUI_DESCR

GLOBAL_PICTURE	i_beam_tab.gif

SHOW_PARAM	DOUBLE	D
SHOW_PARAM	DOUBLE	BF
SHOW_PARAM	DOUBLE	TF
SHOW_PARAM	DOUBLE	TW

END_GUI_DESCR

BEGIN_TAB_DESCR

BEGIN_TABLE	TYPE	TYPE
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES	SIZE_W
M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES	SIZE_M
HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES	SIZE_HP
AISC V14 W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES_V14	SIZE_W_V14
AISC V14 M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES_V14	SIZE_M_V14
AISC V14 HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES_V14	SIZE_HP_V14
END_TABLE



BEGIN_SUBTABLE	SIZE_W	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
W 4 x 13	W 4 x 13	4.125	4	0.375	0.25	0.25
W 5 x 16	W 5 x 16	5	5	0.375	0.25	0.25
W 5 x 19	W 5 x 19	5.125	5	0.4375	0.25	0.3
W 6 x 9	W 6 x 9	5.875	4	0.1875	0.1875	0.3
W 6 x 12	W 6 x 12	6	4	0.25	0.25	0.25
W 6 x 16	W 6 x 16	6.25	4	0.375	0.25	0.25
W 6 x 15	W 6 x 15	6	6	0.25	0.25	0.25
W 6 x 20	W 6 x 20	6.25	6	0.375	0.25	0.25
W 6 x 25	W 6 x 25	6.375	6.125	0.4375	0.3125	0.25
W 8 x 10	W 8 x 10	7.875	4	0.1875	0.1875	0.32
W 8 x 13	W 8 x 13	8	4	0.25	0.25	0.32
W 8 x 15	W 8 x 15	8.125	4	0.3125	0.25	0.32
W 8 x 18	W 8 x 18	8.125	5.25	0.3125	0.25	0.32
W 8 x 21	W 8 x 21	8.25	5.25	0.375	0.25	0.32
W 8 x 24	W 8 x 24	7.875	6.5	0.375	0.25	0.4
W 8 x 28	W 8 x 28	8	6.5	0.4375	0.3125	0.4
