BEGIN_GUI_DESCR

GLOBAL_PICTURE	i_beam_s_tab.gif

SHOW_PARAM	DOUBLE	D
SHOW_PARAM	DOUBLE	BF
SHOW_PARAM	DOUBLE	TF
SHOW_PARAM	DOUBLE	TW

END_GUI_DESCR

BEGIN_TAB_DESCR

BEGIN_TABLE	TYPE	TYPE
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
S (fractional)	S_SHAPES	S_SHAPES	S_SHAPES	SIZE_S
AISC V14 S (fractional)	S_SHAPES	S_SHAPES	S_SHAPES_V14	SIZE_S_V14
END_TABLE


BEGIN_SUBTABLE	SIZE_S	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1	R2
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
S 3 x 5.7	S 3 x 5.7	3	2.375	0.25	0.1875	0.27	0.1
S 3 x 7.5	S 3 x 7.5	3	2.5	0.25	0.375	0.27	0.1
S 4 x 7.7	S 4 x 7.7	4	2.625	0.3125	0.1875	0.29	0.11
S 4 x 9.5	S 4 x 9.5	4	2.75	0.3125	0.3125	0.29	0.11
S 5 x 10	S 5 x 10	5	3	0.3125	0.1875	0.31	0.13
S 5 x 14.75	S 5 x 14.75	5	3.25	0.5	0.3125	0.31	0.13
S 6 x 12.5	S 6 x 12.5	6	3.375	0.375	0.25	0.33	0.14
S 6 x 17.25	S 6 x 17.25	6	3.625	0.375	0.4375	0.33	0.14
S 7 x 15.3	S 7 x 15.3	7	3.625	0.375	0.25	0.35	0.15
S 7 x 20	S 7 x 20	7	3.875	0.375	0.4375	0.35	0.15
S 8 x 18.4	S 8 x 18.4	8	4	0.4375	0.25	0.37	0.16
S 8 x 23	S 8 x 23	8	4.125	0.4375	0.4375	0.37	0.16
S 10 x 25.4	S 10 x 25.4	10	4.625	0.5	0.3125	0.41	0.19
S 10 x 35	S 10 x 35	10	5	0.5	0.625	0.41	0.19
S 12 x 31.8	S 12 x 31.8	12	5	0.5625	0.375	0.45	0.28
S 12 x 35	S 12 x 35	12	5.125	0.5625	0.4375	0.45	0.28
S 12 x 40.8	S 12 x 40.8	12	5.25	0.6875	0.4375	0.56	0.28
S 12 x 50	S 12 x 50	12	5.5	0.6875	0.6875	0.56	0.28
S 15 x 42.9	S 15 x 42.9	15	5.5	0.625	0.4375	0.51	0.25
S 15 x 50	S 15 x 50	15	5.625	0.625	0.5625	0.51	0.25
S 18 x 54.7	S 18 x 54.7	18	6	0.6875	0.4375	0.56	0.28
S 18 x 70	S 18 x 70	18	6.25	0.6875	0.6875	0.56	0.28
S 20 x 66	S 20 x 66	20	6.25	0.8125	0.5	0.6	0.3
S 20 x 75	S 20 x 75	20	6.375	0.8125	0.625	0.6	0.3
S 20 x 86	S 20 x 86	20.25	7	0.9375	0.6875	0.6	0.3
S 20 x 96	S 20 x 96	20.25	7.25	0.9375	0.8125	0.6	0.3
S 24 x 80	S 24 x 80	24	7	0.875	0.5	0.6	0.3
S 24 x 90	S 24 x 90	24	7.125	0.875	0.625	0.6	0.3
S 24 x 100	S 24 x 100	24	7.25	0.875	0.75	0.6	0.3
S 24 x 106	S 24 x 106	24.5	7.875	1.0625	0.625	0.6	0.3
S 24 x 121	S 24 x 121	24.5	8	1.0625	0.8125	0.6	0.3
END_SUBTABLE

BEGIN_SUBTABLE	SIZE_S_V14	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1	R2
