BEGIN_GUI_DESCR			
			
GLOBAL_PICTURE	wacky_wood_tab		
			
SHOW_PARAM	DOUBLE	W	
SHOW_PARAM	DOUBLE	H	
			
END_GUI_DESCR			
			
BEGIN_TAB_DESCR			
			
			
BEGIN_TABLE	SIZE	WxH	
SEL_STRING	BUW_SIZE	W	H
STRING	STRING	DOUBLE	DOUBLE
3/8 x 4	.375 x 03.500	0.375	03.500
3/8 x 6	.375 x 05.500	0.375	05.500
1/2 x 2	.5 x 1.5	0.5	1.5
1/2 x 4	.5 x 3.5	0.5	3.5
1/2 x 6	.5 x 5.5	0.5	5.5
1/2 x 8	.5 x 7.25	0.5	7.25
1/2 x 12	.5 x 11.25	0.5	11.25
3/4 x 2	3/4 x 2	.75	2.00
3/4 x 3	3/4 x 3	.75	3.00
3/4 x 4	3/4 x 4	.75	4.00
3/4 x 5	3/4 x 5	.75	5.00
1 x 2	.75 x 1.5	0.75	1.5
1 x 3	.75 x 2.5	0.75	2.5
1 x 4	.75 x 3.5	0.75	3.5
1 x 5	.75 x 4.5	0.75	4.5
1 x 6	.75 x 5.5	0.75	5.5
1 x 8	.75 x 7.25	0.75	7.25
1 x 10	.75 x 9.25	0.75	9.25
1 x 12	.75 x 11.25	0.75	11.25
2 x 2	1.5 x 1.5	1.5	1.5
2 x 3	1.5 x 2.5	1.5	2.5
2 x 4	1.5 x 3.5	1.5	3.5
2 x 6	1.5 x 5.5	1.5	5.5
2 x 8	1.5 x 7.25	1.5	7.25
2 x 10	1.5 x 9.25	1.5	9.25
2 x 12	1.5 x 11.25	1.5	11.25
2 x 2	2 x 2	2	2
3 x 3	3 x 2	3	3
4 x 4	4 x 2	4	4
5 x 5	5 x 2	5	5
6 x 6	6 x 2	6	6
7 x 7	7 x 2	7	7
8 x 8	8 x 2	8	8
9 x 9	9 x 9	9	9
10 x 10	10 x 10	10	10
END_TABLE			
			
END_TAB_DESCR			
