BEGIN_GUI_DESCR				

GLOBAL_PICTURE	copper-pipe_tab.png			

SHOW_PARAM	DOUBLE	DM		
SHOW_PARAM	DOUBLE	T		

END_GUI_DESCR				

BEGIN_TAB_DESCR				

BEGIN_TABLE	TYPE	TYPE		
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
COPPER-PIPE	COPPER-PIPE	COPPER-PIPE	COPPER-PIPE	SIZE_PIPE
END_TABLE				

BEGIN_SUBTABLE	SIZE_PIPE	SIZE	
SEL_STRING	BUW_SIZE	DM	T
STRING	STRING	DOUBLE	DOUBLE
1/4" Type L	1/4" Type L	0.375	0.030
3/8" Type L	3/8" Type L	0.500	0.035
1/2" Type L	1/2" Type L	0.625	0.040
5/8" Type L	5/8" Type L	0.750	0.042
3/4" Type L	3/4" Type L	0.875	0.045
1" Type L	1" Type L	1.125	0.050
1-1/4" Type L	1-1/4" Type L	1.375	0.055
1-1/2" Type L	1-1/2" Type L	1.625	0.060
2" Type L	2" Type L	2.125	0.070
2-1/2" Type L	2-1/2" Type L	2.625	0.080
3" Type L	3" Type L	3.125	0.090
3-1/2" Type L	3-1/2" Type L	3.625	0.100
4" Type L	4" Type L	4.125	0.110
5" Type L	5" Type L	5.125	0.125
6" Type L	6" Type L	6.125	0.140
END_SUBTABLE
